,tweet,data,rt,quote
162,@omrmatias Impossível ser derrotado com uma pele dessas,2022-01-16 22:21:41+00:00,,
163,@luandecrystal Eu gritei com essa frase kkkkkk,2022-01-14 23:45:56+00:00,,
164,Minha gente cadê os camarotes????,2022-01-14 18:56:53+00:00,,
165,AMEI BARBIE!!!!,2022-01-14 00:11:01+00:00,,
166,"@wesmath3us Me lasquei, eu só n fumo cigarro de sabor",2022-01-12 21:23:29+00:00,,
167,AAAAAAAAAAAAAAAAAA https://t.co/wZyO9v2p6f,2022-01-12 01:12:54+00:00,,https://twitter.com/paramorebr/status/1480923143367757830
168,@SoftCircuits Uma maravilha 😂😢😭,2022-01-10 23:55:13+00:00,,
169,Minha gente!!!!!! https://t.co/NUgVYSmT3d,2022-01-10 22:30:47+00:00,,https://twitter.com/borgesrick/status/1480567794240471043
170,"Não to querendo ir dormir, minhas férias vão acabar quando eu for dormir",2022-01-10 02:36:10+00:00,,
171,Resumo do ep 1 https://t.co/0PxP9iR2Ul,2022-01-09 13:17:12+00:00,,https://twitter.com/BlairWarnher/status/1479909691484479488
172,@MatheuIan Esses jovens de hoje,2022-01-06 17:50:32+00:00,,
173,Pq a galera do twitter tem tanto ódio com relacionamento aberto ou relações não monogâmicas?,2022-01-06 16:01:38+00:00,,
174,🗣️🗣️🗣️🗣️🗣️ https://t.co/mmdHii5fBE,2022-01-06 12:02:52+00:00,,https://twitter.com/reidolfo/status/1478455658039189504
175,Eu acho o Instagram mais eficaz que o Tinder,2022-01-06 04:31:16+00:00,,
176,Ei minha gente vamo fazer mutirão pro Instagram mudar esse jeito de organizar os melhores amigos,2022-01-04 23:25:40+00:00,,
177,"@tteusao No geral a hbomax tem um dos melhores catálogos amigo, mas a netflix é a que se garante mais nos originais",2022-01-04 19:54:29+00:00,,
178,@eduardopds Me coloquem!!!!,2022-01-04 19:52:51+00:00,,
179,Isso é muito mentira no mundo gay https://t.co/V9vESMKA4X,2022-01-03 16:44:23+00:00,,https://twitter.com/escitaloprando/status/1477435749347774467
180,"@M4dmari Em 2022 eu vou fazer o mestrado

Ei pow esse teclado tá sabendo demais da minha vida",2022-01-03 01:53:36+00:00,,
181,Que cana foi essa,2022-01-01 17:08:35+00:00,,
182,Parece que ainda tô bêbado,2022-01-01 14:28:10+00:00,,
183,Que álcool foi esse,2022-01-01 14:27:46+00:00,,
184,Eu estava até animado,2021-12-30 22:51:48+00:00,,
185,"Arrumaram um sinônimo pra gay assumido hoje na praça:
-- GAY EXTERNA --",2021-12-29 02:55:37+00:00,,
186,@assumpreto_ Não suporto,2021-12-28 01:03:48+00:00,,
187,@omrmatias A morte,2021-12-28 01:02:54+00:00,,
188,Eu ainda não entendi o que é NFT,2021-12-28 00:25:36+00:00,,
189,@luandecrystal Tá vendo ai!!,2021-12-27 18:52:08+00:00,,
190,@luandecrystal Vai valer a pena amigo!!!,2021-12-27 16:31:46+00:00,,
191,Fazia tempo que eu bebia dois dias seguidos,2021-12-26 13:00:35+00:00,,
192,@oleolacerda Gato demais!!!!!,2021-12-25 19:48:46+00:00,,
193,@clarabgs_ O cidadão olivedense é humilhado demais! Kkkkkkkkkk,2021-12-25 04:18:41+00:00,,
194,Eu até que tô bonitin pro natal em família! https://t.co/BO8QYFOOkZ,2021-12-24 22:43:05+00:00,,
195,Radar versão pagode é uma perfeição!!!!,2021-12-23 15:42:06+00:00,,
196,Obrigado @Ludmilla por me fazer gostar de pagode,2021-12-23 15:41:48+00:00,,
197,@EuWebe Tomara que venha essa nota mesmo,2021-12-23 15:40:50+00:00,,
198,E vamos de tcc sobre discurso de ódio no twitter,2021-12-23 11:02:59+00:00,,
199,PQP!!!!!!!!!!!!!! https://t.co/j5MZSoj2XQ,2021-12-22 16:47:16+00:00,,https://twitter.com/geekversez/status/1473685367597506563
200,tô revendo o #IAMPABLLO,2021-12-21 23:59:10+00:00,,
201,"E de novo estamos na frente do computador, sem fome, sem sono, com tempo, as atividades e o conteúdo abertos, mas nenhuma vontade de fazer alguma coisa dessa graduação.",2021-12-21 23:58:04+00:00,,
